State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,color,tooltip_02,tooltip_03,tooltip_04,tooltip_05,tooltip_06,tooltip_07,tooltip_08,tooltip_09,tooltip_10,tooltip_11,tooltip_12,tooltip_13,tooltip_14,tooltip_15,tooltip_16,tooltip_17,tooltip_18,tooltip_19
Mississippi,1266.6507902584117,1366.186354085736,1427.0402774761226,1476.792664795835,2208.1120092825754,1789.9997337269742,1717.7458862741921,1622.7982737230805,2248.078148837392,2350.689480669755,1803.7267115882253,1571.2929129050754,1454.8258988614384,1467.8092199365385,1510.082951553446,1454.1613028407105,1406.2611140860822,1450.612842349592,#d3d3d3,1,1.0785816932281846,1.1266248664993053,1.1659035593342597,1.7432681732524673,1.4131753972709347,1.3561321711438334,1.2811725901122364,1.7748207841711112,1.855830745733942,1.4240126208899644,1.240509953484901,1.148561158332074,1.1588112771295773,1.192185694089664,1.14803647068664,1.1102200582049835,1.1452350193960326
Missouri,848.0357529993312,842.1989341863514,921.4057781080076,1014.1105241352722,1029.6243105786864,994.0404721951271,961.5265890461319,996.1709923718029,1862.9710504104826,1718.1206126018124,1238.7943713927202,1090.806109903114,1081.0847113466032,1137.0160173856575,1102.5123838639267,1088.7959011057562,1041.8916294538835,1030.8247297037774,#d3d3d3,1,0.9931172491344425,1.0865176083074108,1.195834633797653,1.2141284219882396,1.1721681175344396,1.1338278906819748,1.1746804174806866,2.196807202787772,2.0260002087472926,1.4607808303026786,1.286273728489811,1.274810298413746,1.3407642465123215,1.3000777148422848,1.283903299188631,1.2285939900162501,1.2155439508982475
Montana,1423.6482062921484,1595.9011600689205,1762.674399736562,1728.7098800103258,1667.1415587063043,1639.6701296560723,1558.6526139264965,1630.6263011592475,2111.3696708497423,2141.247008871163,1675.7983950021635,1614.188200345166,1507.9753555630923,1592.6375856765312,1612.7182909237317,1578.9067672700987,1672.3107759472425,1752.550495352061,#d3d3d3,1,1.1209940440450523,1.238139023352825,1.214281640906711,1.1710347762445663,1.1517382752348257,1.0948298933947758,1.145385702698399,1.4830698072164505,1.5040562685412153,1.1771155174400374,1.1338392400670905,1.0592331370195531,1.1187016417661992,1.1328067452309802,1.1090568303965465,1.1746657415477162,1.2310277831322736
Nebraska,995.8343518518661,1102.7004963126321,1146.3183793410728,1370.5561853964084,1342.4967987488862,1288.6012425461006,1324.1704329150327,1202.393583293995,1844.915516679996,2201.4665534795467,1353.650646419849,1321.9253449234195,1115.5636276583723,1180.109512481737,1168.4385577846097,1117.2129900703517,1038.620143731566,1016.1325598902482,#d3d3d3,1,1.1073131733827382,1.1511135132156916,1.3762893224638262,1.348112561343523,1.2939915560753668,1.3297095349769654,1.207423283860422,1.85263293362914,2.2106754495721823,1.3593130663775388,1.327455055617584,1.120230112150536,1.1850459971451983,1.1733262219883924,1.1218863739664817,1.0429647679858953,1.0203831169316817
Nevada,607.6368403243656,722.1146284269703,782.0387979541639,830.2344352592221,798.2694179028703,815.4460155275208,783.7933043753271,1163.8741960424081,988.2173975214833,1192.047889831237,1048.1076876176617,993.7264731964995,943.7899297723784,964.5029717568716,966.0370280369647,1004.8585699495472,958.467461650342,999.8081377956331,#d3d3d3,1,1.1883983664346203,1.2870167607623986,1.3663332769883252,1.3137278139303439,1.3419956813221259,1.2899041867786136,1.9154108487252266,1.626328971419768,1.9617768553909667,1.7248916096959594,1.6353953665252314,1.5532138065700054,1.5873016705866707,1.589826297433315,1.653715678945896,1.577368911895957,1.6454040825798526
New Hampshire,598.0756800612736,691.7186124951714,798.8016733816986,822.9960285191877,823.7430669226609,856.1962980676757,831.6503822215695,875.4819568563809,1097.531562897105,1118.3870299203854,1092.358477282934,955.6757406686918,944.4942933545749,964.0900885398587,1000.8290763958112,984.5386476609824,1004.3339700884974,971.5420259035908,#d3d3d3,1,1.1565737172665238,1.3356197217379921,1.3760733899677557,1.3773224599907947,1.4315852100522752,1.3905437220526438,1.4638313946600983,1.835104819484821,1.8699757692969647,1.8264552692913723,1.597917742735805,1.5792220363446483,1.6119867780630814,1.6734154384830946,1.6461773659817018,1.67927572307505,1.6244466349209437
New Jersey,770.0541965645883,818.8711400515032,888.7693445165951,900.8028694126588,906.3310760194311,896.4427835837197,858.6468301835298,880.7927687872741,2036.2212596619465,1051.1796640583154,1147.064357165352,936.257818004232,922.4198345480759,922.1032939930498,922.3754114995473,924.4686083804643,933.2996185958968,965.9902274022211,#d3d3d3,1,1.0633941658972834,1.1541646659178353,1.1697915204298273,1.176970504235688,1.1641294698256093,1.1150472707170174,1.1438062057407379,2.6442570779382257,1.3650723140629593,1.4895891253923477,1.215833667527716,1.1978635252729357,1.1974524625757408,1.1978058370625126,1.2005240832460349,1.2119921205021527,1.2544444685994236
New Mexico,1566.332874025352,1665.5332199386346,2072.8575592481548,1948.2279457307393,1741.4745384643002,1682.3302875193176,1699.8173513589988,1866.2747621873375,2657.3897929275254,2200.372643238695,1665.0599095860725,1737.1505402339617,1538.6595440551503,1639.0833592190172,1684.9762833802274,1766.04074442175,1629.2313668931656,1605.0649457996612,#d3d3d3,1,1.0633328633768284,1.3233825284666816,1.2438147586878816,1.1118163752694838,1.0740566806823515,1.0852210149880863,1.191493068386644,1.696567720051896,1.4047924804029113,1.0630306860041823,1.1090557882307748,0.9823324081176413,1.046446375735384,1.0757459741299888,1.127500273861433,1.0401565298863769,1.0247278675028832
New York,1102.0538633295448,1251.8282787824267,1473.771638804072,1504.7619963932602,1525.5491552524275,1472.4520087526514,1372.8515788232437,1399.0742244897235,1600.0307543275321,2190.2019910418308,1587.9128276718786,1388.312264192194,1377.3469190266576,1167.0178987898523,1382.6037337163034,1479.3882592479742,1225.1682431966694,1441.254058625829,#d3d3d3,1,1.1359048050522509,1.3372954697073396,1.3654160168243015,1.3842782154434912,1.336098041799929,1.2457209438707106,1.2695152850903453,1.4518625700321857,1.9873819818795002,1.4408668038007217,1.2597499182098053,1.2498000005783678,1.0589481491077368,1.2545700166951517,1.3423919723655067,1.1117135776786529,1.3077891259066834
North Carolina,853.1993672382748,940.5392857663333,1037.8906743356863,1085.0814649977845,1086.3465768666097,1038.30557507985,1041.3832866080993,1119.4378404034553,1559.448608813719,1619.4332431027935,1393.7385844324353,1177.7751685480655,1143.7385358589158,1161.0749943327385,1132.7469920086974,1119.0911502776241,1097.3344732536334,1098.23129115333,#d3d3d3,1,1.102367537860195,1.2164691093187747,1.2717795003881565,1.2732622861442222,1.2169553974714566,1.2205626569777681,1.3120471995038734,1.8277657821776236,1.8980713128570932,1.6335438561608813,1.3804219901854964,1.3405290483994248,1.3608484006393813,1.3276463104693708,1.3116408582205303,1.2861407490321994,1.2871918725258789
North Dakota,1490.2899713811328,1689.8482386125706,1800.8387428999172,1954.7957909053778,1961.3163730927856,1929.2916096448143,1836.6034336190753,1998.1415953475048,3419.015438551814,2223.8960153555154,1825.9716459739586,1580.7771014663342,1626.936803549286,1597.9119864264787,1524.703297126722,1555.4862873261554,1563.4891492495801,1722.2366408686783,#d3d3d3,1,1.1339056633699927,1.2083814408487108,1.311688214001576,1.3160635921579256,1.2945746443269928,1.232379918598657,1.3407736975480806,2.2941947568654886,1.492257250643987,1.225245879016237,1.0607178011144651,1.091691439110682,1.0722154863228441,1.0230916978617903,1.043747402986683,1.049117406192172,1.1556386166059938
Ohio,777.2553799390056,846.0744706146595,962.9956457537186,1050.1387902631975,1064.8544820291238,1031.0311712176028,1045.1523489411068,1044.912893776257,1616.7145730634606,1753.5045652626757,1370.1743371905955,1167.4446376961498,1139.1390175873828,1121.3305053029349,1120.333973607365,1100.9127032929405,1034.2372522035826,1070.8514271655022,#d3d3d3,1,1.088541157066104,1.2389694180428688,1.3510859073701185,1.3700187988569308,1.3265024570154949,1.3446704595639134,1.344362381715847,2.080030083793477,2.2560211360650606,1.7628367362322004,1.502009079419642,1.4655916793741275,1.4426796317459136,1.4413975155698273,1.4164105282607804,1.3306273316303625,1.37773433906567
Oklahoma,1138.5113426831788,1256.6526749280968,1291.0995027841716,1424.8312490047417,1313.8604587214224,1263.2238018026046,1197.1761798319994,1407.660632369711,1373.4866280631754,1685.9231882667214,1295.31791593061,1167.0727534579294,1110.0184997807144,1097.6283120686155,1089.8726588340762,1069.566588762115,1023.6852856165093,1101.0782283868443,#d3d3d3,1,1.1037682522920582,1.134024277475692,1.2514862132570244,1.1540161344593993,1.109539935566659,1.0515276703441203,1.2364045746371015,1.2063881812773338,1.480813695095416,1.1377294782833507,1.0250866282170177,0.9749735976847502,0.9640908007835807,0.9572787006807735,0.9394430680342818,0.8991436863544513,0.9671210001227443
Oregon,1021.4342467850003,1025.1719573382018,1145.5022475615888,1194.8190990641635,1182.2698056251493,1163.7898437059694,1092.7000339946069,1377.943232869832,1695.731264001248,1737.3159945961388,1082.2730574775717,915.3662582557494,992.0151954934728,1082.7340007161447,1078.424018673122,1009.6557756772457,1052.8456441619037,1037.3161228601957,#d3d3d3,1,1.0036592767130788,1.1214645006931154,1.1697464646646596,1.1574605113803307,1.1393683414953417,1.069770313100347,1.3490278372856168,1.6601472579743837,1.7008593554253748,1.0595621410620053,0.8961577910050466,0.9711982916334312,1.0600134116553146,1.055793872260989,0.9884686937560321,1.0307522461438627,1.0155486034712309
Pennsylvania,1034.399776278216,1119.160915464844,1243.3616301082898,1312.3565372550283,1298.285978952179,1250.49133288296,1294.9713099028745,1260.3091758009693,2054.4045741577343,2311.987065709553,1451.6269438443642,1381.3096415054047,1216.9534367923334,1250.8496872770675,1287.26760349359,1326.044868890412,1343.4236365186655,1371.6729087099986,#d3d3d3,1,1.0819423409888966,1.2020126634036226,1.2687130907712534,1.2551104599262666,1.208905262317674,1.2519060227972962,1.2183966051651502,1.9860837379040326,2.235100121568194,1.4033519507006633,1.335373105430644,1.176482695279525,1.2092516993551963,1.244458509189934,1.2819462061965432,1.2987470292697871,1.3260568497465224
Rhode Island,875.7092607622312,963.9657171569676,1147.370816262965,1255.4352356974173,1267.8010235547652,1386.029606984605,1372.406254283112,1719.348052653591,2048.2264630406607,1927.4156518537711,1657.9857876057356,1551.8599195425031,1488.3927303004964,1468.843362212939,1392.8076814175017,1389.769818314686,1289.3375272222656,1369.506397957496,#d3d3d3,1,1.1007828286729737,1.3102188907586467,1.4336210566103487,1.4477419394323305,1.5827508844410105,1.5671939486954243,1.9633777209995964,2.3389343413564587,2.2009766691014754,1.8933062169087929,1.7721177439550424,1.699642560597082,1.677318521143004,1.5904909812249557,1.5870219496194529,1.4723351516232748,1.5638825113776413
South Carolina,1042.4328151252946,1076.4588725204487,1205.0950098337478,1204.6121880480734,1209.4660521382777,1203.9068912994048,1168.27488497727,1213.4472836231846,1728.2442143136159,1672.4272779014473,1319.03428599761,1233.7860734447288,1200.6296371791461,1213.3920586828024,1202.4334802471774,1192.2057373260548,1162.6648715205945,1135.2036909066976,#d3d3d3,1,1.032641007556026,1.1560409384166423,1.1555777701638121,1.16023405498119,1.1549011829167157,1.120719597489695,1.1640532281951763,1.6578950597462634,1.6043501831822427,1.2653422521422346,1.1835641161166195,1.1517573312720755,1.1640002512171101,1.1534877478916006,1.1436763310091675,1.1153379427918801,1.0889945850085816
